customer_id,id,month,name,age,ssn,occupation,annual_income,monthly_inhand_salary,num_bank_accounts,num_credit_card,interest_rate,num_of_loan,type_of_loan,delay_from_due_date,num_of_delayed_payment,changed_credit_limit,num_credit_inquiries,credit_mix,outstanding_debt,credit_utilization_ratio,credit_history_age,payment_of_min_amount,total_emi_per_month,amount_invested_monthly,payment_behaviour,monthly_balance,credit_score
CUS_0x2ff6,0x188b9,August,Toniu,35,060-67-8371,Scientist,12421.12,1002.0933333333336,7,3,11,4,"Debt Consolidation Loan, Mortgage Loan, Home Equity Loan, and Mortgage Loan",15,14,1.95,3.0,Standard,685.18,37.82675645833447,21 Years and 5 Months,NM,29.379388887206588,113.95141554792912,Low_spent_Small_value_payments,277.49997475616107,Standard
CUS_0xa422,0x1e1b1,August,Lux,40,692-10-4434,Scientist,92067.99,7455.3325,4,4,18,2,"Credit-Builder Loan, and Personal Loan",24,13,7.81,6.0,Standard,1398.94,34.18417268722752,26 Years and 8 Months,Yes,152.65163749298694,613.4823616326357,Low_spent_Medium_value_payments,259.39925087437746,Standard
CUS_0x2748,0x1b0a9,August,Euan Rochac,36,497-31-1000,Accountant,35771.08,3024.9233333333336,4,4,10,4,"Personal Loan, Credit-Builder Loan, Personal Loan, and Auto Loan",6,12,1.23,5.0,Standard,1081.2,22.559803974265726,29 Years and 1 Months,NM,60.846216151506425,261.3159556956472,Low_spent_Small_value_payments,270.3301614861798,Standard
CUS_0x8a62,0xafed,August,Doug Palmerp,39,024-46-1152,Developer,64427.3,5075.941666666667,3,4,5,2,"Debt Consolidation Loan, and Personal Loan",10,5,7.21,6.0,Good,1265.7,31.09664263368041,16 Years and 2 Months,No,104.46034174005504,416.83299552500574,Low_spent_Large_value_payments,256.30082940160594,Good
CUS_0x661d,0x13bfd,August,Jimm,25,128-26-1433,Journalist,52454.79,4130.2325,8,6,24,7,"Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Debt Consolidation Loan, and Student Loan",25,25,-5.23,11.0,Bad,2429.89,36.367650873618,8 Years and 6 Months,Yes,273.56064730844287,459.974139052073,Low_spent_Small_value_payments,119.71750059272836,Poor
CUS_0x1585,0x192fd,August,Kazunori Takadax,22,168-46-0002,Media_Manager,18426.025,1513.5020833333335,6,6,14,6,"Not Specified, Home Equity Loan, Payday Loan, Payday Loan, Home Equity Loan, and Mortgage Loan",13,19,9.67,9.0,Standard,364.1,38.2339152290097,12 Years and 9 Months,Yes,78.42828579099908,55.72311536666532,,297.19880717566895,Standard
CUS_0x5172,0x10af5,August,Aruna Viswanathac,36,293-53-8143,Doctor,18496.49,1802.374166666667,7,8,27,4,"Not Specified, Student Loan, Not Specified, and Credit-Builder Loan",38,26,4.48,12.0,Bad,1571.26,31.127813245480205,19 Years and 9 Months,NM,56019.0,240.63442762136387,Low_spent_Small_value_payments,174.69742047475856,Poor
CUS_0xabea,0x2244d,August,Kiyoshix,21,339-65-0460,,14243.975,1174.9979166666667,6,5,11,2,"Credit-Builder Loan, and Credit-Builder Loan",26,10,14.73,8.0,Standard,1480.12,28.5945707488373,12 Years and 3 Months,Yes,14.281901221662189,121.43569696102097,Low_spent_Medium_value_payments,261.7821934839835,Standard
CUS_0x1758,0x1953d,August,Miaq,22,322-65-4078,Lawyer,21787.63,1867.635833333333,0,3,5,3,"Auto Loan, Personal Loan, and Not Specified",2,2,4.6,3.0,Good,998.07,27.68903722083158,29 Years and 10 Months,NM,36.90148131431068,206.3353930991251,Low_spent_Small_value_payments,233.5267089198976,Good
CUS_0x72b6,0x10a7d,August,Cohnw,38,334-23-3707,Doctor,15195492.0,5905.6433333333325,10,8,31,8,"Mortgage Loan, Mortgage Loan, Not Specified, Mortgage Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Payday Loan",37,23,16.28,11.0,Bad,4192.67,24.197837048325983,10 Years and 10 Months,Yes,399.15221909613416,415.9121524805896,High_spent_Small_value_payments,186.5625534134225,Standard
